uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,population,urban,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
309,4.83E+11,Sam Rayburn High School,4834320,Pasadena Isd,12/1/2021,2021-2022,2021,11:00 PM,Wednesday,"Pasadena, California",Texas,"138,699",N,public,2724,0,0,0,targeted,21,m,,,,,,,,,,,130,84,2482,10,4,0,14,0,,,29.678303,-95.182324,175.78,9,12,2210,Harris County,48,48201,21
310,3.60E+11,Great Oaks Charter School,3601085,Great Oaks Charter School,12/9/2021,2021-2022,2021,9:30 AM,Thursday,New York,New York,"20,201,249",N,public,299,0,0,0,unclear,,,,,,,,,,,,,9,92,179,11,2,0,6,0,,,40.719909,-73.991729,20,6,9,256,New York County,36,36061,11
311,3.70E+11,Jesse C. Carson High School,3704050,Rowan-salisbury Schools,12/9/2021,2021-2022,2021,2:00 PM,Thursday,China Grove,North Carolina,#FIELD!,N,public,1245,0,0,0,accidental,,,,,0,,,,,,,,933,48,205,6,3,0,50,0,,,35.563,-80.5457,71.24,9,12,461,Rowan County,37,37159,41
312,3.70E+11,West Charlotte High School,3702970,Charlotte-mecklenburg Schools,12/13/2021,2021-2022,2021,2:15 PM,Monday,"Charlotte, North Carolina",North Carolina,"879,709",Y,public,1376,0,0,0,targeted,,,,student,,,,,,,,,18,1058,187,35,2,0,76,0,,,35.2654,-80.8585,90.6,9,12,1372,Mecklenburg County,37,37119,11
313,4.50E+11,Eau Claire High School,4503360,Richland 01,12/16/2021,2021-2022,2021,3:00 PM,Thursday,"Columbia, South Carolina",South Carolina,"136,632",N,public,510,0,0,0,targeted,15,m,,student,,,,,,,,,6,440,46,0,0,6,17,0,,,34.048231,-81.040984,50,9,12,510,Richland County,45,45079,12
314,1.73E+11,Auburn High School,1734510,Rockford Sd 205,1/4/2022,2021-2022,2022,1:10 PM,Tuesday,"Rockford, Illinois",Illinois,"148,655",N,public,1807,0,2,2,targeted,16,m,b,,,,17,m,b,,,,498,770,331,75,4,2,127,0,9mm handgun,,42.286784,-89.137895,101.1,9,12,1105,Winnebago County,17,17201,12
315,1.20E+11,Seminole High School,1201710,Seminole,1/19/2022,2021-2022,2022,12:00 PM,Wednesday,"Sanford, Florida",Florida,"61,051",N,public,4062,0,1,1,targeted,16,m,b,student,,,,,,,,,1377,1134,975,385,14,11,166,0,9mm handgun,,28.7793,-81.283,149.07,9,12,2032,Seminole County,12,12117,13
317,4.22E+11,Oliver Citywide Academy,4219170,Pittsburgh Sd,1/19/2022,2021-2022,2022,1:45 PM,Wednesday,Pittsburgh,Pennsylvania,"302,971",N,public,105,1,0,1,targeted,,,,,,,,,,,,,9,85,0,0,0,0,11,0,,,40.464327,-80.024121,22.63,3,12,86,Allegheny County,42,42003,11
316,2.40E+11,Magruder High School,2400480,Montgomery County Public Schools,1/21/2022,2021-2022,2022,1:00 PM,Friday,"Rockville, Maryland",Maryland,"67,117",N,public,1697,0,1,1,targeted,17,m,,student,,,,,,,,,436,302,671,210,3,0,75,0,,,39.1313,-77.1183,101.8,9,12,545,Montgomery County,24,24031,41
323,2.70E+11,South Education Center,2700025,Intermediate School District 287,2/1/2022,2021-2022,2022,12:07 PM,Tuesday,Richfield,Minnesota,#FIELD!,N,public,71,1,1,2,targeted,19,m,h,student,,,18,m,h,,,,15,17,27,2,1,1,8,0,,,44.868045,-93.310844,8.2,PK,12,47,Hennepin County,27,27053,21
335,3.62E+11,Mount Vernon High School,3620100,Mount Vernon City School District,2/8/2022,2021-2022,2022,2:00 PM,Tuesday,"Mount Vernon, Iowa",New York,"4,527",N,public,1302,0,0,0,unclear,,,,,,,,,,,,,45,974,262,11,6,2,2,0,,,40.9258,-73.8151,79.74,9,12,,Westchester County,36,36119,21
324,80615001357,Liberty Point International School,806150,Pueblo County School District 70,2/22/2022,2021-2022,2022,3:30 PM,Tuesday,"Pueblo West, Colorado",Colorado,"33,086",Y,public,536,1,0,1,targeted,,,,police officer,,,,,,,,,256,4,227,0,4,2,43,0,service weapon,,38.3173,-104.7291,26,6,8,319,Pueblo County,8,8101,22
336,1.30E+11,Jonesboro High School,1301230,Clayton County School District,2/28/2022,2021-2022,2022,,Monday,"Clayton County, Iowa",Georgia,"17,043",Y,public,1383,0,0,0,unclear,,,,student,,,,,,,,,44,923,313,48,6,0,49,0,Loaded handgun,,33.5427,-84.3428,75.3,9,12,1286,Clayton County,13,13063,21
318,2.01E+11,Olathe East High School,2010140,Olathe School District,3/4/2022,2021-2022,2022,10:30 AM,Friday,"Olathe, Kansas",Kansas,"141,290",Y,public,1957,0,2,2,targeted,18,m,b,student,,,,,,,,,1264,209,280,102,7,4,91,0,,,38.8959,-94.7539,117.3,9,12,482,Johnson County,20,20091,21
319,1.91E+11,East High School,1908970,Des Moines Public Schools,3/7/2022,2021-2022,2022,3:00 PM,Monday,"Des Moines, Iowa",Iowa,"214,133",N,public,2204,1,2,3,indiscriminate,,,,,,,,,,,,,644,339,922,158,10,2,129,0,,,41.5969,-93.600681,97.1,9,12,1815,Polk County,19,19153,12
320,1.20E+11,North Gardens High School,1200390,Miami-Dade School District,3/9/2022,2021-2022,2022,1:30 PM,Wednesday,"Miami Gardens, Florida",Florida,"111,640",N,public,335,0,3,3,indiscriminate,17,m,,,,,18,m,,,,,11,138,183,0,0,0,3,0,Glock,,25.938839,-80.276769,6,9,12,140,Miami-Dade County,12,12086,21
325,63255005018,De Anza High School,632550,West Contra Costa Unified,3/11/2022,2021-2022,2022,,Friday,"Richmond, Virginia",California,"226,610",N,public,1380,0,1,1,targeted,,,,student,,,,,,,,,106,308,665,243,4,10,44,0,,,37.969409,-122.288035,62.89,9,12,1063,Contra Costa County,6,6013,21
326,5.31E+11,Eisenhower High School,5310110,Yakima School District,3/15/2022,2021-2022,2022,3:00 PM,Tuesday,"Yakima, Washington",Washington,"96,968",N,public,1908,1,0,1,targeted,15,m,,student,,,,,,,,,447,11,1372,12,21,1,43,0,,,46.591635,-120.565796,97.97,9,12,1333,Yakima County,53,53077,13
339,3.80E+11,Mott-Regent School,3800046,Mott-regent 1,3/21/2022,2021-2022,2022,,Wednesday,"Hettinger County, North Dakota",North Dakota,"2,489",N,public,98,1,0,1,targeted,,m,,police officer,,,,,,,,,87,2,3,0,5,1,0,0,service pistol,,46.372185,-102.318612,15.5,7,12,43,Hettinger County,38,38041,43
329,5.10E+11,Rippon Middle School,5103130,Prince William Co Pblc Schs,3/22/2022,2021-2022,2022,11:00 AM,Thursday,Woodbridge,Virginia,#FIELD!,Y,public,1371,0,0,0,indiscriminate,20,m,b,,,,,,,,,,127,519,498,140,2,5,80,0,rifle and shotgun,,38.6226,-77.2671,82.67,6,7,,Prince William County,51,51153,21
337,3.20E+11,Western High School,3200060,Clark County School District,3/29/2022,2021-2022,2022,2:15 PM,Tuesday,Las Vegas,Nevada,"641,903",Y,public,2732,0,2,0,targeted,,,,school police officer,,,,,,,,,155,451,1969,49,1,21,86,0,,,36.176163,-115.202879,103,9,12,2732,Clark County,32,32003,11
333,2.80E+11,West Philadelphia Achievement Charter Elementary School,2803600,Philadelphia Public School Dis,3/31/2022,2021-2022,2022,9:00 AM,Thursday,Philadelphia,Pennsylvania,"1,603,797",N,public,470,0,0,0,accidental,8,m,,student,0,,,,,,,,60,382,6,10,8,0,4,0,,,32.780532,-89.105653,36.2,PK,6,470,Neshoba County,28,28099,33
321,4.50E+11,Tanglewood Middle,4502310,Greenville County School District,3/31/2022,2021-2022,2022,12:26 PM,Thursday,"Greenville, South Carolina",South Carolina,"70,720",N,public,868,1,0,1,targeted,12,m,,student,,,,,,,,,105,351,379,0,4,0,29,0,handgun,,34.824083,-82.46882,45,6,8,868,Greenville County,45,45045,41
332,3.90E+11,Lowellville Junior/Senior High School,3904833,Lowellville Local,4/5/2022,2021-2022,2022,10:00 AM,Thursday,"Lowellville, Ohio",Ohio,996,N,public,219,0,0,0,public suicide,,,,student,,,,,,,,,191,9,15,0,0,0,4,0,,,41.044822,-80.552325,18.46,7,12,,Mahoning County,39,39099,21
322,4.21E+11,Erie High School,4209300,Erie City Shool District,4/5/2022,2021-2022,2022,9:20 AM,Tuesday,"Erie, Pennsylvania",Pennsylvania,"94,831",Y,public,2267,0,1,1,targeted,14,m,,student,,,,,,,,,803,912,317,111,4,1,119,0,9mm handgun,,42.101896,-80.082293,153.25,9,12,2264,Erie County,42,42049,13
334,50002600867,Pine Bluff High School,500026,Pine Bluff School District,4/11/2022,2021-2022,2022,2:45 PM,Monday,"Pine Bluff, Arkansas",Arkansas,"41,253",N,public,892,0,0,0,unclear,,m,,student,,,,,,,,,21,851,16,1,0,0,3,1,,,34.219096,-92.010781,58.17,9,12,892,Jefferson County,5,5069,13
340,253426,Edmund Burke School,,,4/22/2022,2021-2022,2022,3:18 PM,Friday,Washington,District of Columbia,"7,705,281",Y,private,300,0,4,4,indiscriminate,23,m,,,1,,,,,,,,,,,,,,,0,sniper rifle,,38.94304098,-77.06209293,,,,,District of Columbia,11,11001,11
338,2.63E+11,Aspen Ridge Elementary School,2625400,Nice Community School District,4/26/2022,2021-2022,2022,1:30 PM,Tuesday,"West Ishpeming, Michigan",Michigan,"2,552",N,public,753,0,0,0,public suicide,,m,,student,,,,,,,,,706,3,6,5,12,5,16,0,,,46.4805,-87.7289,50.95,KG,8,264,Marquette County,26,26103,41
344,4.82E+11,Heights High School,4823640,The Houston Independent School District,5/12/2022,2021-2022,2022,1:15 PM,Thursday,Houston,Texas,"2,304,580",Y,public,2450,0,1,1,targeted,17,m,,student,,,,,,,,,257,296,1841,23,3,2,28,0,AK pistol,,29.795384,-95.3935,123.15,9,12,1613,Harris County,48,48201,11
343,1.20E+11,Alexander W. Dreyfoos School of Arts,1201500,Palm Beach County,5/13/2022,2021-2022,2022,11:58 AM,Friday,"West Palm Beach, Florida",Florida,"117,415",N,public,1363,1,0,0,targeted,,f,,off-duty police officer,,,,,,,,,710,125,326,127,3,0,72,0,,,26.709238,-80.059481,65,9,12,327,Palm Beach County,12,12099,12
328,1.71E+11,Walt Disney Magnet School,1709930,City Of Chicago Sd 299,5/17/2022,2021-2022,2022,10:00 AM,Tuesday,Chicago,Illinois,"2,746,388",N,public,1536,0,1,1,accidental,8,m,,student,0,,,,,,,,231,738,317,177,9,3,61,0,,,41.9568,-87.6469,91,PK,8,865,Cook County,17,17031,11
342,4.83E+11,Mexia High School,4830420,Mexia Independent School District,5/17/2022,2021-2022,2022,11:20 AM,Monday,"Mexia, Texas",Texas,"6,893",N,public,531,0,0,0,unclear,17,m,,student,,,,,,,,,97,134,280,9,0,1,12,0,,,31.696012,-96.473307,42.8,9,12,431,Limestone County,48,48293,33
327,4.84E+11,Robb Elementary School,4843720,Uvalde CISD,5/24/2022,2021-2022,2022,11:33 AM,Tuesday,"Uvalde, Texas",Texas,"15,217",Y,public,538,21,12,33,indiscriminate,18,m,h,,,,,,,,,,47,6,516,0,0,0,2,0,,,29.199304,-99.78812,34.53,3,4,438,Uvalde County,48,48463,33
348,62271003052,Ulysses S. Grant High School,622710,Los Angeles Unified School District,6/1/2022,2021-2022,2022,3:25 PM,Wednesday,Los Angeles,California,"3,898,747",Y,public,1886,0,1,2,targeted,,,,,,,,,,,,,732,58,1010,61,5,2,18,0,,,34.177798,-118.415327,94.35,9,12,2609,Los Angeles County,6,6037,11
347,10162000565,Walnut Park Elementary,101620,Gadsden City,6/9/2022,2022-2023,2022,9:30 AM,Thursday,"Gadsden, Alabama",Alabama,"33,945",N,public,203,1,1,2,targeted,,,,police officer,,,,,,,,,118,48,35,1,1,0,0,0,,,34.0107,-86.0562,13.46,PK,5,252,Etowah County,1,1055,13
345,64074006734,John Finney High School,640740,Vallejo City Unified District,7/20/2022,2022-2023,2022,9:25 AM,Wednesday,"Vallejo, California",California,"126,090",Y,public,135,0,0,0,unclear,,m,Hispanic,,,,,,,,,,9,53,65,4,0,2,2,0,,,38.111902,-122.243859,7.12,9,12,93,Solano County,6,6095,12
349,62805004278,Madison Park Academy,628050,Oakland Unified School District,8/29/2022,2022-2023,2022,1:30 PM,Monday,"Oakland, California",California,"440,646",N,public,754,0,1,1,accidental,12,m,,student,0,,,,,,,,5,117,589,15,1,22,5,0,,,37.727297,-122.178837,45.3,6,12,694,Alameda County,6,6001,11
350,2.40E+11,Mergenthaler Vocational Technical High School,2400090,Baltimore City Public Schools District,9/2/2022,2022-2023,2022,3:00 PM,Friday,Baltimore,Maryland,"585,708",N,public,1785,1,0,1,targeted,17,m,,student,,,,,,,,,51,1577,145,6,0,1,5,0,handgun,,39.3322,-76.5911,105.5,9,12,1187,Baltimore City,24,24510,11
351,1.20E+11,Treasure Cost Classical Academy,1201290,Martin District,9/19/2022,2022-2023,2022,,Monday,"Stuart, Florida",Florida,"17,425",N,public,1030,0,0,0,accidental,,m,w,school resource deputy,0,,,,,,,,818,25,130,20,1,1,35,0,handgun,,27.120513,-80.234928,67,KG,12,153,Martin County,12,12085,21
352,2.72E+11,Mankato West High School,2718780,Mankoto Public School District,9/20/2022,2022-2023,2022,12:00 PM,Tuesday,"Mankato, Minnesota",Minnesota,"44,488",Y,public,1243,0,0,0,suicide,,m,,student,,,,,,,,,993,121,59,28,2,59,39,0,,,44.159231,-94.017529,55.56,9,12,259,Blue Earth County,27,27013,13
353,62805007326,Rudsdale High School,628050,Oakland Unified School District,9/28/2022,2022-2023,2022,12:45 PM,Wednesday,"Oakland, California",California,"440,646",Y,public,294,0,6,6,indiscriminate,,,,,,,,,,,,,1,56,229,3,0,3,2,0,,,37.76573,-122.153923,17.8,9,12,255,Alameda County,6,6001,11
354,2.50E+11,Jeremiah E. Burke High School,2502790,Boston Public Schools Library and Media Services,10/4/2022,2022-2023,2022,9:30 AM,Tuesday,"Dorchester, Boston",Massachusetts,"9,769",N,public,390,0,1,1,targeted,17,m,,student,,,,,,,,,15,232,126,3,0,3,11,0,,,42.306942,-71.081648,34.89,9,12,,Suffolk County,25,25025,11
355,5.51E+11,James Madison Academic Campus,5509600,Milwaukee Public Schools,10/10/2022,2022-2023,2022,3:30 PM,Monday,Milwaukee,Wisconsin,"577,222",Y,public,699,0,1,1,unclear,,,,,,,,,,,,,10,625,29,21,0,0,14,0,,,43.1261,-88.0128,41.8,9,12,699,Milwaukee County,55,55079,11
356,2.93E+11,Central Visual and Performing Arts High School,2929280,St. Louis City,10/24/2022,2022-2023,2022,9:10 AM,Monday,St. Louis,Missouri,"301,578",N,public,380,2,7,9,indiscriminate,19,m,b,,,,,,,,,,56,289,26,6,1,0,2,0,,,38.604372,-90.270897,26.45,9,12,377,St. Louis City,29,29510,11
357,5.31E+11,Ingraham High School,5307710,Seattle School District No. 1,11/8/2022,2022-2023,2022,,Tuesday,Seattle,Washington,"737,015",N,public,1483,1,0,1,targeted,14,m,,student,,,15,m,,student,,,762,155,235,147,7,5,166,0,handgun,,47.7257,-122.3369,72.41,9,12,186,King County,53,53033,11
358,1.70E+11,Ball Elementary School,1704920,Ball Chatham Cusd 5,11/11/2022,2022-2023,2022,1:26 PM,Tuesday,Ball,Louisiana,#FIELD!,N,public,606,0,2,2,targeted,,,,,,,,,,,,,473,39,22,24,1,0,47,0,,,39.6716,-89.629,36.32,PK,4,,Sangamon County,17,17167,41
359,1.81E+11,South Vermillion High School,1810590,South Vermillion Com Sch Corp,11/17/2022,2022-2023,2022,9:30 AM,Thursday,Clinton,Indiana,#FIELD!,#FIELD!,public,535,0,1,1,accidental,,m,,sheriff deputy,0,,,,,,,,506,4,12,0,0,1,12,1,handgun,,39.689,-87.4138,37.74,9,12,195,Vermillion County,18,18165,31
360,4.70E+11,Freedom Preparatory High School,4700148,Shelby County,12/5/2022,2022-2023,2022,12:27 PM,Monday,"Memphis, Texas",Tennessee,"2,048",N,public,288,0,1,1,accidental,15,m,,student,0,,,,,,,,1,233,49,0,0,0,5,0,,,35.032022,-90.036586,14.84,6,8,156,Shelby County,47,47157,11
361,2.40E+11,Suitland High School,2400510,Prince George's County Public Schools,12/8/2022,2022-2023,2022,10:00 AM,Thursday,"Forestville, North Carolina",Maryland,#FIELD!,Y,public,2047,0,1,1,targeted,16,m,,student,,,,,,,,,28,1806,185,4,5,4,15,0,,,38.853645,-76.917277,133,9,12,807,Prince George's County,24,24033,21
364,3.70E+11,Fuquay-Varina Middle School,3704720,Wake County Schools,12/8/2022,2022-2023,2022,8:03 AM,Thursday,"Fuquay-Varina, North Carolina",North Carolina,"34,152",N,public,1157,0,0,0,accidental,12,,,student,,,,,,,,,694,183,210,18,6,3,43,0,,,35.585093,-78.793497,65.5,6,8,196,Wake County,37,37183,21
362,4.11E+11,Cleveland High School,4110040,Portland County Schools,12/12/2022,2022-2023,2022,12:30 PM,Monday,"Portland, Oregon",Oregon,"652,503",Y,public,1625,0,1,1,targeted,,,,,,,,,,,,,1062,42,150,138,2,6,198,0,,,45.4985,-122.6391,80.56,9,12,148,Multnomah County,41,41051,11
371,3.62E+11,Benjamin Franklin High School,3624750,Rochester City School District,1/5/2023,2022-2023,2023,,Thursday,"Rochester, New York",New York,"211,328",N,public,1029,0,0,0,targeted,,,,,,,,,,,,,83,574,349,18,1,0,4,0,,,43.188169,-77.597958,108.7,9,12,941,Monroe County,36,36055,12
365,3.90E+11,Beechcroft High School,3904380,Columbus City School District,1/6/2023,2022-2023,2023,11:30 AM,Thursday,"Columbus, Ohio",Ohio,"905,748",N,public,630,0,0,0,unclear,15,,,student,,,,,,,,,53,375,141,30,1,1,29,0,,,40.0942,-82.9647,44,9,10,,Franklin County,39,39049,11
363,5.10E+11,Richneck Elementary School,5102640,Newport News City of Public Schools,1/6/2023,2022-2023,2023,2:00 PM,Friday,"Newport News, Virginia",Virginia,"186,247",N,public,586,0,1,1,targeted,6,m,,student,,,,,,,,,141,275,86,20,0,2,62,0,handgun,,37.1564,-76.5237,31,KG,5,492,Newport News City,51,51700,12
366,1.00E+11,William Penn High School,1000230,Colonial School District,1/10/2023,2022-2023,2023,11:40 AM,Monday,"New Castle, Delaware",Delaware,"5,551",N,public,2270,0,0,0,accidental,16,m,,student,,,,,,,,,551,1074,511,47,11,11,65,0,handgun,,39.668622,-75.584879,128,9,12,,New Castle County,10,10003,21
372,2.20E+11,Booker T. Washington High School,2200277,Kipp Booker T Washington,1/10/2023,2022-2023,2023,3:30 PM,Tuesday,New Orleans,Louisiana,"383,997",Y,public,736,0,1,1,targeted,,,,,,,,,,,,,1,700,34,0,1,0,0,0,,,29.94991,-90.08925,56,9,12,583,Orleans Parish,22,22071,11
373,BB081130,Plaza Academy,,,1/24/2023,2022-2023,2023,12:34 PM,Tuesday,"Kansas City, Missouri",Missouri,"508,090",N,private,50,0,1,1,targeted,,,,,,,,,,,,,,,,,,,,0,,,39.0554877,-94.59127529,,9,12,,Jackson County,29,29095,11
367,4.90E+11,Taylorsville High School,4900360,Granite District,1/26/2023,2022-2023,2023,,Thursday,"Taylorsville, Utah",Utah,"60,448",N,public,2764,0,0,0,targeted,,,,student,,,,,,,,,1359,90,1041,115,26,95,38,0,,,40.655508,-111.936978,102.81,9,12,1127,Salt Lake County,49,49035,21
368,40963002775,Gila Ridge High School,409630,Yuma Union High School District,1/30/2023,2022-2023,2023,8:30 AM,Monday,"Yuma, Arizona",Arizona,"95,548",N,public,2158,0,2,2,unclear,,,,,,,,,,,,,672,31,1373,15,13,6,48,0,,,32.6857,-114.5107,83.7,9,12,1208,Yuma County,4,4027,41
370,4.01E+11,Geary Elementary School,4012570,Geary,1/31/2023,2022-2023,2023,,Tuesday,"Geary, Oklahoma",Oklahoma,994,N,public,149,0,0,0,accidental,,,,parent of student,,,,,,,,,71,5,19,0,43,0,11,0,rifle,legally purchased by shooter,35.629468,-98.324487,15.2,PK,5,130,Blaine County,40,40011,43
369,1.70E+11,Ridgeview Jr. High School,1700109,Ridgeview Cusd 19,2/2/2023,2022-2023,2023,10:00 AM,Thursday,"Pickerington, Ohio",Ohio,"23,094",Y,public,143,0,0,0,targeted,,m,,,,,,,,,,,129,2,3,0,0,0,9,0,,,40.5638,-88.6136,6.7,6,10,60,Mclean County,17,17113,42
375,3.60E+11,PS 78,3600103,New York City Geographic District #31,2/13/2023,2022-2023,2023,12:35 PM,Monday,Staten Island,New York,"495,747",Y,public,594,0,0,0,unclear,,,,,,,,,,,,,25,242,280,22,8,10,7,0,,,40.6223,-74.0787,54.14,PK,5,569,Richmond County,36,36085,11
374,4.82E+11,Dalhart ISD schools,4816200,Dalhart ISD,2/13/2023,2022-2023,2023,12:00 PM,Monday,"Dalhart, Texas",Texas,"8,447",N,public,1735,1,0,1,accidental,,,,,,,,,,,,,521,13,1178,3,6,1,13,0,,,36.047164,-102.499399,128.91,PK,12,1162,Hartley County,48,48205,41
376,4.22E+11,Westinghouse Academy,4219170,Pittsburgh Sd,2/14/2023,2022-2023,2023,,Tuesday,Pittsburgh,Pennsylvania,"302,971",Y,public,679,0,4,4,unclear,,,,,,,,,,,,,11,627,10,1,3,0,27,0,,,40.4609,-79.9012,63.7,6,12,676,Allegheny County,42,42003,11
377,4.81E+11,Palo Duro High School,4808130,Amarillo Isd,3/6/2023,2022-2023,2023,2:00 PM,Monday,"Amarillo, Texas",Texas,"200,393",N,public,1895,0,1,1,unclear,,,,,,,,,,,,,203,347,1083,211,7,6,38,0,,,35.228498,-101.824434,131,9,12,1499,Potter County,48,48375,12
378,4.81E+11,Lamar High School,4808700,Arlington Isd,3/20/2023,2022-2023,2023,6:55 AM,Monday,"Arlington, Texas",Texas,"394,266",N,public,"2,541",1,1,2,unclear,,m,,student,,,,,,,,,385,901,"1,107",65,13,3,67,0,,,32.763804,-97.125993,166.97,9,12,"1,820",Tarrant County,48,48439,11
381,10009000011,Anniston High School,100090,Anniston City,3/22/2023,2022-2023,2023,12:45 PM,Wednesday,"Anniston, Alabama",Alabama,"21,564",N,public,450,0,1,1,accidental,,,,student,,,,,,,,,21,387,30,0,0,0,12,0,,,33.6612,-85.82,25.5,9,12,387,Calhoun County,1,1015,13
379,80336000338,East High School,803360,School District NO. 1 In The County Of Denver And State Of Colorado,3/22/2023,2022-2023,2023,9:55 AM,Wednesday,Denver,Colorado,"715,522",Y,public,2589,0,2,2,targeted,17,m,b,student,1,suicide,,,,,,,1325,417,571,63,6,8,199,0,ghost gun,,39.7416,-104.9557,123.63,9,12,743,Denver County,8,8031,11
382,1.81E+11,Northridge Middle School,1806600,Middlebury Community Schools,3/24/2023,2022-2023,2023,,Friday,"Middlebury, Clay County, Indiana",Indiana,#FIELD!,N,public,1002,0,0,0,public suicide,,,,staff member,1,suicide,,,,,,,831,19,107,9,,1,35,0,,,41.672866,-85.726857,68.5,6,8,266,Elkhart County,18,18039,41
380,A0503352,The Covenant School,,,3/27/2023,2022-2023,2023,10:13 AM,Monday,"Nashville, Tennessee",Tennessee,"689,447",Y,private,200,6,0,6,indiscriminate,28,f,w,former student,1,police shooting,,,,,,,112,3,0,1,0,0,0,0,,,36.09286762,-86.82526612,15,PK,6,,Davidson County,47,47037,11
383,5.10E+11,George Wythe High School,5103240,Richmond City Pblc Schs,4/27/2023,2022-2023,2023,12:02 PM,Thursday,"Richmond, Virginia",Virginia,"226,610",N,public,1296,0,2,2,targeted,18,m,,student,,,,,,,,,32,598,652,3,0,0,11,0,,,37.510274,-77.483075,71.84,9,12,1116,Richmond City,51,51760,12
384,4.70E+11,West High School,4702220,Knox County,4/28/2023,2022-2023,2023,9:20 AM,Friday,"Knoxville, Tennessee",Tennessee,"190,740",N,public,1525,0,1,1,accidental,14,m,,student,,,,,,,,,909,305,187,23,0,3,98,0,handgun,,35.9485,-83.973,85.5,9,12,303,Knox County,47,47093,12
385,2.60E+11,International Academy of Flint K12,2600195,International Academy of Flint,5/2/2023,2022-2023,2023,3:30 PM,Tuesday,"Flint, Michigan",Michigan,"81,252",N,public,927,0,1,1,targeted,27,f,,parent,,,,,,,,,36,800,12,0,7,0,72,0,,,42.9966,-83.6785,49,PK,12,787,Genesee County,26,26049,13
388,3.20E+11,Von Tobel Ed MS,3200060,Clark County School District,5/8/2023,2022-2023,2023,12:30 PM,Monday,Las Vegas,Nevada,"641,903",N,public,"1,051",0,1,1,accidental,18,m,,,,,,,,,,,25,128,867,6,2,6,17,0,,,36.20418,-115.097412,,6,8,1051,Clark County,32,32003,21
386,4.22E+11,E. Washington Rhodes Elementary School,4218990,Philadelphia City Sd,5/8/2023,2022-2023,2023,11:30 AM,Monday,Philadelphia,Pennsylvania,"1,603,797",N,public,406,0,0,0,accidental,,,,student,,,,,,,,,4,370,20,0,3,0,9,0,,,40.0028,-75.1781,41.37,KG,8,403,Philadelphia County,42,42101,11
387,1.10E+11,Roosevelt High School,1100030,District Of Columbia Public Schools,5/17/2023,2022-2023,2023,2:25 PM,Wednesday,Washington,District of Columbia,"7,705,281",N,public,797,1,0,1,unclear,,,,,,,,,,,,,6,432,354,4,0,0,1,0,,,38.942971,-77.029177,67.9,9,12,392,District Of Columbia,11,11001,11
390,600937,St. John's Prep,,,5/22/2023,2022-2023,2023,,Monday,"Danvers, Massachusetts",Massachusetts,"28,087",N,private,1446,0,0,0,accidental,,m,,police officer,,,,,,,,,1186,50,140,50,0,10,10,0,,,42.5826821,-70.95260296,176.3,6,12,,Essex County,25,25009,21
389,4.22E+11,Oliver Citywide Academy,4219170,Pittsburgh Sd,5/24/2023,2022-2023,2023,7:30 AM,Wednesday,Pittsburgh,Pennsylvania,"302,971",Y,public,106,1,0,1,targeted,15,m,,student,,,,,,,,,9,82,2,1,0,0,12,0,,,40.464327,-80.024121,22.63,3,12,88,Allegheny County,42,42003,11
391,2.60E+11,Michigan Collegiate High School,2600210,Conner Creek Academy East,6/5/2023,2022-2023,2023,2:40 PM,Monday,"Warren, Michigan",Michigan,"139,387",N,public,643,0,0,0,targeted,22,m,b,associate of student,,,,,,,,,3,628,2,4,0,0,6,0,handgun,,42.522585,-83.066681,24.84,6,12,595,Macomb County,26,26099,12
